dBFS_25th,dBFS_50th,dBFS_75th,dBFS_max,dBFS_mean,dBFS_min,dBFS_std,data_points,room,seconds_elapsed_25th,seconds_elapsed_50th,seconds_elapsed_75th,seconds_elapsed_max,seconds_elapsed_mean,seconds_elapsed_min,seconds_elapsed_std,sensor_type,time_25th,time_50th,time_75th,time_max,time_mean,time_min,time_std,x_25th,x_50th,x_75th,x_max,x_mean,x_min,x_std,y_25th,y_50th,y_75th,y_max,y_mean,y_min,y_std,z_25th,z_50th,z_75th,z_max,z_mean,z_min,z_std,pressure_25th,pressure_50th,pressure_75th,pressure_max,pressure_mean,pressure_min,pressure_std,relativeAltitude_25th,relativeAltitude_50th,relativeAltitude_75th,relativeAltitude_max,relativeAltitude_mean,relativeAltitude_min,relativeAltitude_std
,,,,,,,10,2-03,1.79409423828125,4.0453947753906245,5.847197143554688,8.098492431640626,3.865595825195312,-0.45720068359375,2.8340386563025968,barometer,1.7510134153140943e+18,1.7510134175653947e+18,1.7510134193671972e+18,1.7510134216184924e+18,1.7510134173855956e+18,1.7510134130627994e+18,2834038631.3391066,,,,,,,,,,,,,,,,,,,,,,1019.861545562744,1019.8625183105468,1019.8680305480956,1019.8734283447266,1019.8646774291992,1019.8584747314452,0.0049331573005254,0.047560691833496,0.095123291015625,0.0990858078002929,0.1268310546875,0.0755699157714843,0.0,0.0414658612754305
,,,,,,,1067,2-03,2.766349487304687,5.41620947265625,8.066063842773438,10.71592822265625,5.416208672964138,0.116500732421875,3.0640970056983843,accelerometeruncalibrated,1.7510134162863496e+18,1.7510134189362094e+18,1.751013421586064e+18,1.7510134242359283e+18,1.751013418936209e+18,1.7510134136365007e+18,3064097006.257848,0.0222320556640625,0.0404510498046875,0.0601577758789062,0.099395751953125,0.0403774586814301,-0.03759765625,0.0255350217518547,-0.209564208984375,-0.1872711181640625,-0.1753311157226562,-0.14117431640625,-0.1923319451029097,-0.277099609375,0.0248205977536029,-1.0031585693359375,-0.9945831298828124,-0.9861907958984376,-0.8609771728515625,-0.9941547683386904,-1.053192138671875,0.0180858372592906,,,,,,,,,,,,,,
,,,,,,,1067,2-03,2.766349487304687,5.41620947265625,8.066063842773438,10.71592822265625,5.416208672964138,0.116500732421875,3.0640970056983843,gyroscopeuncalibrated,1.7510134162863496e+18,1.7510134189362094e+18,1.751013421586064e+18,1.7510134242359283e+18,1.751013418936209e+18,1.7510134136365007e+18,3064097006.257848,-0.0639803148806094,-0.0143773416057229,0.0358393564820289,0.4835514724254608,-0.0079729222156187,-0.4853741526603699,0.105094968180514,-0.020550682209432,0.0181808676570653,0.0559526141732931,0.3606876134872436,0.0189672712660114,-0.4457021057605743,0.0889553950871274,-0.0250725960358977,0.0073567163199186,0.0451287291944026,0.2867295145988464,0.0162315671551158,-0.1960102468729019,0.0769362200323906,,,,,,,,,,,,,,
,,,,,,,1053,2-04,2.75887060546875,5.3998798828125,8.040822265625,10.681804443359376,5.399835851250891,0.117886474609375,3.0538784572923747,magnetometeruncalibrated,1.7510134349778706e+18,1.75101343761888e+18,1.7510134402598223e+18,1.7510134429008044e+18,1.7510134376188357e+18,1.7510134323368863e+18,3053878456.339038,-18.1151123046875,-17.910415649414062,-17.662918090820312,-16.992523193359375,-17.933847715372373,-19.51776123046875,0.3843514774131089,-194.9931030273437,-194.8112335205078,-194.59312438964844,-193.5974578857422,-194.8095820210485,-195.8005523681641,0.3069046941210721,-390.9990539550781,-390.6770324707031,-390.34857177734375,-389.474609375,-390.6837667409058,-391.9901123046875,0.4525796397799897,,,,,,,,,,,,,,
-38.12479782104492,-37.06752014160156,-36.254520416259766,-30.22522735595703,-37.0080504099528,-40.21268081665039,1.6969152079073515,105,2-04,2.710999755859375,5.344,7.942999755859375,10.577,5.330323809523809,0.029,3.074644233537494,microphone,1.75101343493e+18,1.751013437563e+18,1.751013440162e+18,1.751013442796e+18,1.751013437549324e+18,1.751013432248e+18,3074644249.8853474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10,2-04,1.7857763061523435,4.037072021484375,5.838739562988281,8.0900400390625,3.857224487304688,-0.465489990234375,2.833975738574393,barometer,1.7510134340047764e+18,1.751013436256072e+18,1.7510134380577395e+18,1.75101344030904e+18,1.7510134360762245e+18,1.75101343175351e+18,2833975752.8994203,,,,,,,,,,,,,,,,,,,,,,1019.8570251464844,1019.8583984375,1019.8593521118164,1019.8599243164062,1019.8582916259766,1019.8567962646484,0.0012938517410504,0.001321792602539,0.0105705261230468,0.0211410522460937,0.0264244079589843,0.0116275787353515,0.0,0.0105109976526755
,,,,,,,1064,2-04,2.7579947509765623,5.400406616210938,8.042822265624999,10.685236328125,5.400408503023305,0.11558544921875,3.0555013777967,accelerometeruncalibrated,1.7510134349769948e+18,1.7510134376194066e+18,1.7510134402618222e+18,1.7510134429042363e+18,1.7510134376194084e+18,1.751013432334585e+18,3055501378.138877,0.0413475036621093,0.0474319458007812,0.0511398315429687,0.0935516357421875,0.0455628588683623,-0.00335693359375,0.0090279239662708,-0.1907196044921875,-0.1864547729492187,-0.1755943298339843,-0.1511993408203125,-0.1832305650065716,-0.20294189453125,0.0103700348931521,-0.9996070861816406,-0.9955825805664062,-0.992034912109375,-0.91412353515625,-0.9959684673108552,-1.034942626953125,0.0083202079222776,,,,,,,,,,,,,,
,,,,,,,1064,2-04,2.7579947509765623,5.400406616210938,8.042822265624999,10.685236328125,5.400408503023305,0.11558544921875,3.0555013777967,gyroscopeuncalibrated,1.7510134349769948e+18,1.7510134376194066e+18,1.7510134402618222e+18,1.7510134429042363e+18,1.7510134376194084e+18,1.751013432334585e+18,3055501378.138877,-0.0265459241345524,-0.0095046889036893,0.0089522160124033,0.1821098774671554,-0.007770856489289,-0.1744181364774704,0.0368310748520161,-0.0002526674106774,0.0148336738348006,0.0307431984692811,0.282425582408905,0.018508722245773,-0.1227900981903076,0.0376436504913994,-0.0075497288489713,0.0072878734208643,0.020319718401879,0.1704268604516983,0.0076099752445189,-0.1307795792818069,0.0249023725243281,,,,,,,,,,,,,,
,,,,,,,1048,2-05,2.755589172363281,5.383803588867187,8.01199755859375,10.640162109375,5.383776978936814,0.127263916015625,3.0391419996700124,magnetometeruncalibrated,1.7510134528895892e+18,1.7510134555178035e+18,1.7510134581459976e+18,1.7510134607741622e+18,1.751013455517777e+18,1.751013450261264e+18,3039141998.267494,-18.36484909057617,-17.972923278808594,-17.669063568115234,-15.889801025390623,-17.94306025614265,-19.423065185546875,0.6328116281522144,-197.933723449707,-197.7017364501953,-197.38603591918945,-194.85479736328125,-197.5225291943732,-198.9138336181641,0.726388957163891,-389.1962585449219,-388.9189453125,-388.7210235595703,-387.6902465820313,-388.95142649876254,-390.5190734863281,0.3774521304166088,,,,,,,,,,,,,,
-38.17832660675049,-36.47613906860352,-35.36630344390869,-22.733020782470703,-36.192332176061775,-40.02252578735352,2.62338045735894,104,2-05,2.66475,5.29,7.898,10.474,5.283403841458835,0.03,3.0571277421164096,microphone,1.75101345279875e+18,1.751013455424e+18,1.751013458032e+18,1.751013460608e+18,1.751013455417404e+18,1.751013450164e+18,3057127767.440586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1059,2-05,2.748186889648437,5.37818505859375,8.008185913085937,10.63819091796875,5.378187717628659,0.11818994140625,3.041166882967238,accelerometeruncalibrated,1.7510134528821868e+18,1.751013455512185e+18,1.751013458142186e+18,1.751013460772191e+18,1.751013455512188e+18,1.75101345025219e+18,3041166882.80018,0.0312118530273437,0.0446929931640625,0.053009033203125,0.09942626953125,0.0415753444711254,-0.0494842529296875,0.0214417419689204,-0.2258148193359375,-0.2181396484375,-0.2094497680664062,-0.1398773193359375,-0.214764070015566,-0.2476348876953125,0.017405023468789,-0.9934768676757812,-0.9886474609375,-0.9844741821289062,-0.8949432373046875,-0.9894317540501062,-1.044342041015625,0.0107347705071886,,,,,,,,,,,,,,
,,,,,,,1059,2-05,2.748186889648437,5.37818505859375,8.008185913085937,10.63819091796875,5.378187717628659,0.11818994140625,3.041166882967238,gyroscopeuncalibrated,1.7510134528821868e+18,1.751013455512185e+18,1.751013458142186e+18,1.751013460772191e+18,1.751013455512188e+18,1.75101345025219e+18,3041166882.80018,-0.0338409207761287,-0.0121123231947422,0.0115871476009487,0.4543957412242889,-0.0097394485636962,-0.5758907198905945,0.0688655392909906,-0.0021973741240798,0.0182029716670513,0.036927256733179,0.4436533451080322,0.0221079014386329,-0.256874144077301,0.067689030034515,-0.007435945328325,0.0069657638669013,0.0222966503351926,0.2207859009504318,0.0122463734272594,-0.1238196790218353,0.0430763810576241,,,,,,,,,,,,,,
,,,,,,,1057,2-06,2.775917724609375,5.4267568359375,8.077578857421875,10.728238525390625,5.426745422074562,0.125206298828125,3.065228395879926,magnetometeruncalibrated,1.7510134706039178e+18,1.7510134732547569e+18,1.7510134759055788e+18,1.7510134785562386e+18,1.751013473254745e+18,1.7510134679532063e+18,3065228394.559934,-18.851715087890625,-18.302474975585938,-17.740127563476562,-16.885879516601562,-18.327213327052352,-20.08465576171875,0.6660523967752435,-196.60287475585932,-196.30599975585932,-196.01426696777344,-195.1812744140625,-196.3119596338768,-197.45909118652344,0.4101131037020236,-390.50189208984375,-390.18756103515625,-389.9334716796875,-389.052978515625,-390.2091743519764,-391.5347900390625,0.4201010165714264,,,,,,,,,,,,,,
