timestamp,long,lat,POSI_X,POSI_Y,ACCE_X,ACCE_Y,ACCE_Z,ACCE_MOD,GYRO_X,GYRO_Y,GYRO_Z,GYRO_MOD,MAGN_X,MAGN_Y,MAGN_Z,MAGN_MOD
126.1516000000,,,0.0,0.0,,,,,1.3518800000,0.5814100000,0.5909300000,1.5858169464,,,,
126.1523000000,,,0.0,0.0,,,,,,,,,-38.3880600000,-19.7097800000,-33.3969100000,54.5662182652
126.1553000000,,,0.0,0.0,0.1378600000,2.6861700000,6.8505900000,7.3596941510,,,,,,,,
126.1636000000,,,0.0,0.0,,,,,,,,,-37.7868700000,-22.7096600000,-35.0463900000,56.3189635358
126.1646000000,,,0.0,0.0,,,,,1.2678200000,0.5532200000,0.5279500000,1.4805914775,,,,
126.1680000000,,,0.0,0.0,0.2826200000,2.7340200000,7.2310500000,7.7358143416,,,,,,,,
126.1747000000,,,0.0,0.0,,,,,1.2801200000,0.6089300000,0.5618000000,1.5248351384,,,,
126.1752000000,,,0.0,0.0,,,,,,,,,-37.7868700000,-20.9106400000,-33.2458500000,54.5012747725
126.1757000000,,,0.0,0.0,0.4094400000,2.7519700000,7.6641400000,8.1535281893,,,,,,,,
126.1825000000,,,0.0,0.0,,,,,,,,,-37.4877900000,-21.5103100000,-35.7955900000,56.1190885424
126.1830000000,,,0.0,0.0,,,,,1.3328900000,0.6877900000,0.6283400000,1.6261801843,,,,
126.1859000000,,,0.0,0.0,0.5302700000,2.7687200000,8.1343400000,8.6089769396,,,,,,,,
126.1916000000,,,0.0,0.0,,,,,1.3887600000,0.7658200000,0.7045400000,1.7353706295,,,,
126.1927000000,,,0.0,0.0,,,,,,,,,-38.5376000000,-21.2097200000,-33.2458500000,55.1387828888
126.1962000000,,,0.0,0.0,0.6140300000,2.8058200000,8.5865800000,9.0542263507,,,,,,,,
126.2032000000,,,0.0,0.0,,,,,,,,,-38.9877300000,-20.6100500000,-34.2956500000,55.8659901951
126.2038000000,,,0.0,0.0,,,,,1.4158200000,0.8324000000,0.7558600000,1.8079713416,,,,
126.2119000000,,,0.0,0.0,,,,,1.3742200000,0.8805400000,0.7541400000,1.7979317116,,,,
126.2155000000,,,0.0,0.0,0.5972700000,2.8584600000,8.9969500000,9.4589975329,,,,,,,,
126.2161000000,,,0.0,0.0,,,,,,,,,-37.0376600000,-20.9106400000,-34.7457900000,54.9209709147
126.2189000000,,,0.0,0.0,0.4369700000,2.9254500000,9.3415200000,9.7986323736,,,,,,,,
126.2245000000,,,0.0,0.0,,,,,,,,,-39.8880000000,-21.0601800000,-33.8455200000,56.3924015245
126.2249000000,,,0.0,0.0,,,,,1.2827600000,0.9352700000,0.7085400000,1.7384568220,,,,
126.2276000000,,,0.0,0.0,0.2228100000,2.9828800000,9.5736200000,10.0300257873,,,,,,,,
126.2360000000,,,0.0,0.0,,,,,1.1546900000,0.9972800000,0.6163000000,1.6455096732,,,,
126.2364000000,,,0.0,0.0,,,,,,,,,-38.2370000000,-20.9106400000,-33.9965800000,55.2728729659
126.2385000000,,,0.0,0.0,0.0481300000,3.0439000000,9.8117100000,10.2731347130,,,,,,,,
126.2440000000,,,0.0,0.0,,,,,,,,,-38.6871300000,-21.3607800000,-34.1461200000,55.8474212556
126.2483000000,,,0.0,0.0,,,,,1.0210700000,1.0602000000,0.5105900000,1.5579827127,,,,
126.2487000000,,,0.0,0.0,-0.0715200000,3.1372200000,10.0713200000,10.5488743940,,,,,,,,
126.2536000000,,,0.0,0.0,,,,,0.8700400000,1.0979500000,0.3778500000,1.4509425993,,,,
126.2543000000,,,0.0,0.0,,,,,,,,,-38.5376000000,-21.5103100000,-33.5464500000,55.4364894060
126.2558000000,,,0.0,0.0,-0.1349200000,3.2484900000,10.3357400000,10.8350547776,,,,,,,,
126.2615000000,,,0.0,0.0,,,,,0.6615000000,1.0860900000,0.1900600000,1.2858057947,,,,
