time,seconds_elapsed,dBFS
1751015817140000000,60.571,-35.25120162963867
1751015817240000000,60.671,-35.6285514831543
1751015817341000000,60.772,-28.551040649414062
1751015817440000000,60.871,-20.813825607299805
1751015817541000000,60.972,-24.216657638549805
1751015817641000000,61.072,-26.463266372680664
1751015817741000000,61.172,-29.38717269897461
1751015817841000000,61.272,-32.4179801940918
1751015817940000000,61.371,-28.611961364746094
1751015818040000000,61.471,-28.023849487304688
1751015818140000000,61.571,-30.15991973876953
1751015818240000000,61.671,-31.334753036499023
1751015818340000000,61.771,-31.969680786132812
1751015818441000000,61.872,-33.4599494934082
1751015818541000000,61.972,-29.503084182739258
1751015818641000000,62.072,-31.983264923095703
1751015818740000000,62.171,-34.959556579589844
1751015818841000000,62.272,-37.12208557128906
1751015818940000000,62.371,-37.374732971191406
1751015819041000000,62.472,-35.85025405883789
1751015819140000000,62.571,-38.09754180908203
1751015819241000000,62.672,-35.46002197265625
1751015819340000000,62.771,-36.28963088989258
1751015819440000000,62.871,-37.621360778808594
1751015819540000000,62.971,-37.7479133605957
1751015819640000000,63.071,-34.03903579711914
1751015819740000000,63.171,-36.59392547607422
1751015819840000000,63.271,-24.06711196899414
1751015819940000000,63.371,-6.445998191833496
1751015820040000000,63.471,-8.257139205932617
1751015820140000000,63.571,-10.232255935668945
1751015820240000000,63.671,-14.41630744934082
1751015820340000000,63.771,-19.134078979492188
1751015820444000000,63.875,-22.965164184570312
1751015820557000000,63.988,-26.953245162963867
1751015820674000000,64.10499975585938,-30.778079986572266
1751015820773000000,64.204,-33.482696533203125
1751015820874000000,64.30499975585937,-35.03777313232422
1751015820974000000,64.40500024414062,-27.40085792541504
1751015821074000000,64.50499975585937,-29.520559310913086
